Objeto,Confianza,X1,Y1,X2,Y2,Tiempo
silla,0.27427247166633606,196,247,576,479,1743563662.7551157
persona,0.7348843812942505,221,186,640,470,1743563663.116937
silla,0.4665009081363678,563,211,639,340,1743563663.1173897
silla,0.3900028467178345,540,211,639,352,1743563663.117729
silla,0.3681635558605194,197,252,536,479,1743563663.1180935
silla,0.27400317788124084,196,198,594,479,1743563663.1184478
persona,0.6191217303276062,223,270,638,479,1743563663.481644
silla,0.30051884055137634,563,212,639,354,1743563663.482122
silla,0.6766491532325745,536,211,639,472,1743563663.842813
silla,0.43795937299728394,568,211,639,348,1743563663.843097
silla,0.8351255059242249,537,211,639,470,1743563664.2068803
persona,0.2663627564907074,97,247,196,395,1743563664.5633395
silla,0.2614966630935669,538,211,639,475,1743563664.5637443
silla,0.2562812864780426,198,172,551,479,1743563664.564107
persona,0.5983524322509766,520,77,639,478,1743563664.9416573
train,0.2682896554470062,3,13,631,478,1743563665.2934728
persona,0.690392255783081,7,1,635,477,1743563666.3798285
persona,0.2631857693195343,16,0,437,476,1743563666.380239
persona,0.876983642578125,2,0,633,478,1743563666.7539186
persona,0.922699511051178,2,1,635,479,1743563667.1298535
silla,0.2803277373313904,36,249,100,337,1743563667.130327
persona,0.8776158690452576,22,0,573,480,1743563667.6151936
silla,0.3277144730091095,33,248,106,341,1743563667.615503
persona,0.8105654120445251,9,0,638,479,1743563667.9877677
silla,0.38519665598869324,33,249,101,337,1743563667.9881144
persona,0.9045893549919128,8,0,636,480,1743563668.3890262
silla,0.7021692395210266,570,212,639,320,1743563668.3898015
silla,0.32734736800193787,34,249,98,339,1743563668.3902073
persona,0.9231435060501099,0,1,635,479,1743563668.7780356
silla,0.6355380415916443,570,212,639,350,1743563668.7784066
silla,0.2857668399810791,568,212,639,434,1743563668.778753
persona,0.7563246488571167,6,1,640,478,1743563669.145908
persona,0.35526296496391296,220,2,637,476,1743563669.1463082
persona,0.8890284299850464,0,6,635,479,1743563669.5186784
silla,0.2958850562572479,596,302,639,431,1743563669.5190713
persona,0.9032010436058044,0,1,637,479,1743563669.888427
silla,0.46631282567977905,573,287,639,405,1743563669.888851
silla,0.38217693567276,574,287,639,473,1743563669.8891976
persona,0.9002702236175537,6,1,640,479,1743563670.2552505
silla,0.5904696583747864,573,286,639,404,1743563670.2555404
silla,0.4671816825866699,573,286,639,470,1743563670.255798
persona,0.7912974953651428,54,0,633,478,1743563670.6301887
silla,0.31208160519599915,39,322,125,423,1743563670.6306186
persona,0.6505293846130371,276,1,479,134,1743563671.007629
persona,0.4831535220146179,0,357,236,479,1743563671.0079644
persona,0.3771303594112396,230,2,639,475,1743563671.008346
persona,0.5928092002868652,0,319,216,479,1743563671.3764753
persona,0.44745561480522156,276,3,475,131,1743563671.3769274
persona,0.41832494735717773,163,3,549,477,1743563671.3772614
persona,0.5978350043296814,562,272,639,479,1743563671.7360704
persona,0.520391583442688,1,279,226,479,1743563671.7364824
persona,0.4067590534687042,188,6,615,477,1743563671.7368848
persona,0.33314958214759827,96,279,620,479,1743563671.7372372
persona,0.31959521770477295,229,8,482,475,1743563671.7376497
persona,0.7591115832328796,535,252,639,480,1743563672.111424
persona,0.5554048418998718,86,262,617,479,1743563672.1118824
persona,0.5703897476196289,552,238,639,477,1743563672.4745107
persona,0.42840486764907837,89,248,625,480,1743563672.474827
persona,0.3790874481201172,277,9,462,103,1743563672.4752028
persona,0.33906710147857666,0,248,243,479,1743563672.4755483
persona,0.5449863076210022,565,238,639,479,1743563672.8426418
persona,0.4322032928466797,36,242,628,479,1743563672.8430438
persona,0.3821162283420563,92,241,627,479,1743563673.2029045
